,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,Puerto Rico,
Label,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Total:,"2,019,431","±15,942","358,737","±5,458","3,119,396","±20,317","1,290,465","±13,114","18,419,428","±35,125","2,930,642","±18,896","1,725,540","±13,813","442,231","±9,109","836,289","±13,493","9,521,239","±39,815","4,846,348","±25,298","691,239","±7,350","773,687","±9,750","6,135,708","±23,913","3,082,981","±18,270","1,566,501","±10,998","1,432,728","±12,378","1,956,616","±16,848","1,987,158","±18,560","644,854","±7,031","2,777,396","±21,325","3,580,919","±20,562","4,550,460","±17,938","2,914,880","±12,821","1,152,056","±13,868","2,912,369","±16,565","509,072","±6,674","996,870","±8,722","1,429,884","±12,039","671,724","±8,611","4,010,071","±24,038","865,341","±9,728","9,681,946","±30,686","4,806,173","±25,802","420,968","±6,254","5,501,882","±23,287","1,755,370","±11,260","2,027,274","±13,680","6,038,573","±21,860","483,344","±8,282","2,240,732","±16,874","448,679","±6,516","3,114,465","±18,981","13,263,973","±35,983","1,503,866","±10,377","317,074","±6,018","4,074,566","±24,111","3,597,013","±20,889","712,208","±9,619","2,892,457","±12,841","290,438","±5,748","979,831","±13,629"
"Car, truck, or van - drove alone:","1,748,251","±14,880","241,619","±5,782","2,385,947","±21,700","1,069,302","±13,152","13,664,687","±41,167","2,210,702","±20,015","1,378,675","±13,772","356,992","±8,776","357,030","±9,529","7,551,271","±41,207","3,862,440","±27,647","469,553","±8,841","618,352","±9,760","4,472,736","±24,488","2,568,991","±19,130","1,286,809","±12,184","1,183,438","±14,302","1,623,508","±18,712","1,649,245","±17,661","505,728","±6,906","2,133,542","±20,574","2,540,867","±22,214","3,746,673","±20,014","2,281,201","±14,557","989,169","±14,131","2,408,492","±17,069","384,003","±6,474","822,422","±9,171","1,120,636","±14,352","542,904","±8,450","3,062,326","±22,239","686,353","±11,684","5,004,371","±35,496","3,914,380","±25,386","347,782","±6,810","4,559,980","±24,190","1,452,417","±13,570","1,465,915","±14,240","4,575,729","±24,014","401,074","±7,601","1,839,748","±20,054","365,278","±7,046","2,600,291","±20,193","10,744,820","±42,200","1,142,944","±10,998","244,352","±6,102","3,221,928","±22,210","2,562,551","±21,006","595,181","±10,885","2,368,445","±13,960","220,392","±5,952","825,127","±13,706"
"Car, truck, or van - carpooled:","159,741","±7,621","43,661","±3,720","342,816","±10,840","134,454","±6,908","1,844,594","±23,922","250,543","±10,751","144,888","±7,823","39,062","±4,117","70,221","±4,829","894,569","±20,929","456,254","±15,522","103,657","±6,244","68,972","±5,831","505,745","±14,818","278,592","±9,254","129,186","±5,745","134,005","±6,166","185,052","±8,460","179,768","±8,926","64,137","±4,673","251,345","±9,559","269,520","±9,410","408,048","±10,881","244,857","±7,080","103,397","±6,590","246,816","±8,370","48,223","±4,109","87,284","±4,743","148,735","±6,451","53,628","±4,674","346,261","±11,652","97,213","±6,481","599,166","±14,053","436,614","±14,880","37,153","±3,573","449,462","±14,249","169,018","±7,031","192,581","±8,923","511,172","±11,834","36,533","±4,085","216,891","±9,939","39,426","±3,823","279,691","±11,419","1,289,736","±24,492","168,269","±8,325","27,333","±2,685","359,218","±11,296","351,496","±12,484","60,993","±5,333","219,945","±8,124","31,202","±3,430","78,362","±5,519"
Public transportation (excluding taxicab):,"6,503","±1,811","4,867","±1,214","53,041","±5,080","4,607","±1,314","906,700","±16,757","80,826","±5,082","48,244","±3,801","7,636","±1,401","305,789","±7,947","153,836","±9,097","96,302","±7,842","40,300","±3,645","5,949","±1,114","585,310","±14,462","22,729","±2,606","15,836","±2,453","5,892","±1,623","18,116","±2,534","23,547","±2,963","3,854","±1,294","135,315","±7,271","364,909","±10,961","60,493","±4,342","102,146","±5,333","3,065",±996,"39,747","±3,892","3,484","±1,068","5,295","±1,229","42,384","±4,089","3,632","±1,329","202,468","±8,481","9,369","±2,328","2,945,644","±29,838","46,734","±3,986","3,274","±1,282","86,939","±5,504","7,342","±1,624","86,230","±5,583","358,136","±10,866","9,048","±2,456","10,579","±2,013","1,133",±611,"18,621","±2,444","173,605","±10,080","32,319","±3,343","2,366",±674,"121,501","±6,999","250,839","±9,255","5,925","±1,291","42,330","±2,762","3,651","±1,405","16,532","±1,933"
"Taxicab, motorcycle, bicycle, walked, or other means:","36,080","±3,794","50,894","±3,398","124,935","±6,553","34,111","±3,864","904,159","±17,291","137,273","±6,190","57,760","±4,086","13,193","±2,211","80,482","±4,355","335,786","±12,548","145,806","±9,020","41,534","±3,267","31,188","±3,119","259,022","±8,787","94,326","±5,424","56,851","±3,475","44,389","±3,588","51,998","±3,819","68,590","±5,545","32,319","±2,831","102,770","±6,378","222,981","±7,704","149,047","±6,771","119,059","±4,767","25,223","±3,417","80,124","±5,317","35,982","±3,637","32,675","±2,789","58,798","±4,564","24,559","±2,930","194,419","±9,016","27,810","±2,877","720,251","±15,866","120,014","±6,144","17,926","±1,911","168,601","±8,220","58,359","±3,491","134,681","±6,442","287,358","±9,158","19,284","±2,617","61,068","±6,146","15,604","±1,978","70,942","±5,209","369,262","±11,786","56,692","±4,300","19,870","±1,909","144,671","±7,174","194,575","±8,718","26,141","±2,875","120,927","±5,611","17,680","±2,599","37,420","±3,291"
Worked at home:,"68,856","±5,946","17,696","±2,078","212,657","±9,973","47,991","±4,452","1,099,288","±18,479","251,298","±8,884","95,973","±5,585","25,348","±2,459","22,767","±2,771","585,777","±16,274","285,546","±10,046","36,195","±3,536","49,226","±3,998","312,895","±8,903","118,343","±5,302","77,819","±3,912","65,004","±3,489","77,942","±4,059","66,008","±4,849","38,816","±3,030","154,424","±6,696","182,642","±6,850","186,199","±6,442","167,617","±5,426","31,202","±3,213","137,190","±5,410","37,380","±3,219","49,194","±3,062","59,331","±4,321","47,001","±3,508","204,597","±8,392","44,596","±3,802","412,514","±11,101","288,431","±10,255","14,833","±1,626","236,900","±7,171","68,234","±4,074","147,867","±7,784","306,178","±8,601","17,405","±2,277","112,446","±5,524","27,238","±2,385","144,920","±7,196","686,550","±15,799","103,642","±4,555","23,153","±2,146","227,248","±7,944","237,552","±9,189","23,968","±2,617","140,810","±4,716","17,513","±2,400","22,390","±2,472"
