,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,Puerto Rico,
Label,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Total:,"2,122,960","±18,945","343,490","±6,534","3,236,667","±18,017","1,303,422","±11,622","17,700,636","±50,250","2,969,685","±16,905","1,707,642","±13,583","452,049","±7,830","599,240","±12,164","9,778,660","±43,971","4,937,152","±28,889","650,974","±7,472","858,275","±7,797","5,930,932","±25,149","3,129,264","±19,211","1,574,649","±12,289","1,433,254","±14,071","1,951,548","±16,660","1,941,795","±22,989","646,291","±7,664","2,857,836","±21,926","3,556,338","±23,858","4,464,447","±21,804","2,896,728","±14,849","1,156,037","±16,543","2,906,533","±18,708","518,171","±7,989","1,016,365","±8,386","1,406,540","±15,046","696,865","±10,305","4,202,459","±27,285","868,810","±13,584","9,223,562","±33,821","4,820,487","±23,710","411,931","±7,344","5,469,594","±27,932","1,740,857","±13,023","2,005,393","±18,528","5,954,057","±24,708","500,421","±10,221","2,256,874","±20,273","447,056","±6,842","3,212,017","±24,158","13,546,565","±45,929","1,623,523","±12,654","319,900","±5,678","4,219,619","±23,384","3,609,251","±18,604","681,092","±11,790","2,905,579","±15,574","284,916","±6,292","1,053,764","±15,606"
"Car, truck, or van - drove alone:","1,710,586","±18,929","225,671","±6,847","2,133,916","±23,697","1,032,435","±13,117","11,321,418","±51,720","1,900,574","±20,342","1,149,567","±15,492","321,134","±8,210","271,334","±10,079","6,908,547","±44,129","3,468,186","±33,927","429,898","±9,051","638,947","±9,640","3,862,773","±25,990","2,400,849","±20,673","1,181,337","±14,178","1,073,742","±15,689","1,506,616","±16,657","1,548,155","±20,972","453,029","±9,046","1,770,768","±20,598","2,162,429","±20,351","3,242,530","±22,268","1,936,457","±17,566","964,595","±15,953","2,163,650","±19,995","369,809","±8,066","767,479","±10,405","993,894","±14,784","482,325","±10,331","2,592,320","±25,905","630,223","±13,326","4,532,719","±31,827","3,423,689","±26,988","324,960","±7,594","4,061,288","±28,625","1,348,572","±15,258","1,270,928","±21,158","3,992,515","±25,552","347,164","±10,577","1,737,994","±20,267","341,270","±7,595","2,446,334","±21,986","9,603,127","±51,808","1,079,996","±13,522","217,215","±5,902","2,794,656","±21,057","2,238,607","±20,251","525,622","±11,911","2,133,436","±17,378","217,652","±6,237","861,714","±17,460"
"Car, truck, or van - carpooled:","163,198","±8,345","36,376","±4,671","289,563","±11,871","115,071","±7,114","1,486,942","±28,316","209,449","±9,703","126,575","±8,066","27,758","±3,523","33,833","±3,527","832,391","±22,103","407,259","±15,946","91,655","±5,903","68,219","±5,723","435,581","±14,928","248,424","±8,957","117,407","±6,236","113,439","±6,140","161,705","±8,345","160,183","±9,101","48,733","±4,450","197,785","±10,203","224,053","±10,241","322,950","±10,676","206,680","±7,927","88,461","±6,777","222,372","±9,649","45,842","±3,954","81,085","±4,308","143,019","±8,856","49,970","±4,090","312,599","±11,173","72,408","±5,964","541,766","±17,380","350,588","±12,825","32,494","±3,401","395,267","±11,949","152,746","±6,980","156,195","±7,984","419,477","±14,690","38,236","±4,466","184,523","±10,740","35,976","±3,532","242,502","±10,452","1,242,220","±32,152","143,289","±8,228","24,029","±2,382","302,352","±9,091","256,290","±10,770","59,429","±5,060","194,353","±7,574","26,608","±3,370","66,031","±6,809"
Public transportation (excluding taxicab):,"4,599","±1,341","3,637","±1,531","30,122","±4,355","2,366","±1,020","365,782","±10,795","38,695","±4,303","29,334","±3,175","6,590","±2,295","80,271","±5,439","94,740","±6,169","35,075","±4,400","22,017","±3,304","4,021","±1,381","231,850","±8,253","14,119","±2,504","7,371","±1,695","4,249","±1,570","10,599","±1,930","14,729","±2,650","1,456",±504,"60,291","±4,822","158,404","±6,723","34,952","±3,585","40,134","±3,874","2,701",±932,"22,004","±3,680","2,002",±848,"4,072","±1,162","27,728","±3,125","2,069",±817,"113,307","±5,767","3,356","±1,092","1,712,094","±22,760","24,992","±3,106","1,426",±657,"44,114","±4,415","3,074",±759,"33,360","±3,813","169,126","±7,094","5,375","±1,611","7,334","±2,067","1,697",±725,"10,985","±2,388","101,414","±8,438","20,102","±2,558","1,693",±747,"54,034","±4,298","75,930","±5,283","2,008",±768,"24,857","±2,843","2,257",±834,"7,748","±1,579"
"Taxicab, motorcycle, bicycle, walked, or other means:","37,757","±3,955","42,571","±3,235","107,514","±6,213","26,757","±3,369","736,585","±16,532","112,800","±6,350","62,508","±4,382","12,759","±2,505","46,006","±3,835","308,767","±11,574","130,732","±9,154","35,995","±3,297","30,229","±3,624","256,640","±10,563","92,170","±6,067","58,060","±3,985","45,332","±3,894","48,946","±3,613","60,990","±5,190","27,066","±2,506","101,515","±4,741","188,818","±7,249","129,868","±6,625","109,553","±5,389","24,491","±3,447","75,989","±5,374","27,136","±3,081","35,680","±3,165","59,565","±5,188","22,159","±2,688","211,748","±10,762","29,691","±4,056","683,955","±15,609","111,841","±5,916","17,670","±2,374","160,179","±7,984","59,682","±4,210","99,184","±5,724","253,726","±10,445","18,431","±2,560","60,288","±5,526","19,409","±2,606","68,881","±6,020","398,192","±16,393","54,074","±4,621","13,335","±1,846","128,141","±6,032","153,960","±8,365","22,310","±3,158","118,017","±5,709","13,222","±1,943","39,938","±3,990"
Worked from home:,"206,820","±9,733","35,235","±3,179","675,552","±14,483","126,793","±6,538","3,789,909","±37,384","708,167","±13,896","339,658","±9,296","83,808","±5,147","167,796","±6,358","1,634,215","±26,558","895,900","±19,560","71,409","±5,484","116,859","±5,553","1,144,088","±17,133","373,702","±11,185","210,474","±8,878","196,492","±7,554","223,682","±9,344","157,738","±8,719","116,007","±5,018","727,477","±14,736","822,634","±14,803","734,147","±14,136","603,904","±12,577","75,789","±5,460","422,518","±14,695","73,382","±4,685","128,049","±5,488","182,334","±8,565","140,342","±6,610","972,485","±15,073","133,132","±7,038","1,753,028","±25,821","909,377","±17,171","35,381","±3,720","808,746","±14,456","176,783","±6,919","445,726","±11,726","1,119,213","±18,297","91,215","±5,780","266,735","±11,940","48,704","±3,393","443,315","±14,653","2,201,612","±31,689","326,062","±9,546","63,628","±3,749","940,436","±14,266","884,464","±14,484","71,723","±4,912","434,916","±9,217","25,177","±2,961","78,333","±5,882"
