,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,Puerto Rico,
Label,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Total:,"2,202,731","±16,261","358,941","±6,345","3,361,508","±19,379","1,308,074","±12,614","18,503,255","±52,574","3,095,387","±16,169","1,736,569","±15,698","480,312","±9,240","686,342","±15,232","10,276,099","±37,953","5,176,614","±21,982","682,281","±6,967","881,518","±10,331","6,149,727","±27,438","3,206,726","±19,400","1,607,773","±11,559","1,456,952","±12,733","2,029,656","±16,105","2,008,525","±17,563","666,843","±8,314","2,931,775","±21,320","3,664,158","±21,095","4,635,746","±23,568","2,944,514","±15,111","1,185,807","±12,386","2,964,085","±19,368","547,201","±7,531","1,027,291","±9,074","1,495,987","±14,776","710,753","±9,652","4,316,544","±26,923","924,220","±11,193","9,679,729","±40,389","5,066,999","±27,496","428,995","±6,512","5,639,393","±26,505","1,801,795","±11,178","2,086,591","±16,018","6,155,238","±25,417","517,816","±9,243","2,364,908","±17,667","460,730","±5,029","3,394,288","±22,072","14,341,786","±47,980","1,703,882","±11,183","330,723","±5,648","4,274,200","±23,736","3,783,222","±20,755","707,756","±10,487","2,958,631","±14,406","290,339","±5,869","1,124,646","±13,672"
"Car, truck, or van - drove alone:","1,772,578","±18,386","230,415","±6,373","2,227,066","±20,552","1,046,096","±12,850","12,175,151","±50,900","2,012,249","±18,438","1,218,607","±16,569","350,522","±10,205","315,523","±11,337","7,177,237","±45,000","3,669,028","±28,448","443,340","±8,985","638,281","±11,624","4,073,580","±32,311","2,435,341","±20,958","1,229,681","±13,052","1,106,409","±14,395","1,555,536","±17,265","1,586,936","±16,342","468,405","±9,376","1,919,848","±22,784","2,298,830","±25,480","3,445,558","±23,633","2,049,431","±17,397","972,469","±14,789","2,248,368","±17,883","380,028","±8,290","791,725","±9,652","1,049,594","±14,527","499,211","±9,327","2,788,201","±24,152","678,942","±12,456","4,690,673","±35,220","3,641,746","±27,955","340,147","±6,652","4,235,438","±30,238","1,404,691","±11,374","1,355,672","±19,141","4,254,786","±27,547","379,571","±8,214","1,810,936","±18,497","363,520","±6,402","2,561,390","±23,623","10,241,277","±55,974","1,152,412","±13,706","235,117","±6,118","2,948,012","±24,816","2,381,411","±24,198","557,263","±10,545","2,191,817","±18,359","221,596","±6,164","932,504","±13,121"
"Car, truck, or van - carpooled:","177,047","±8,423","44,327","±3,945","331,738","±12,456","109,103","±6,470","1,818,720","±26,802","244,115","±10,627","134,058","±7,546","34,287","±3,993","45,166","±3,999","926,886","±20,647","459,206","±13,976","101,916","±6,675","79,126","±5,419","487,255","±14,435","314,485","±12,097","132,023","±6,569","124,441","±7,182","195,845","±9,131","172,337","±8,380","55,325","±4,101","231,174","±10,735","262,604","±11,429","366,846","±12,261","226,305","±9,662","115,459","±6,990","234,241","±10,099","59,722","±4,355","90,158","±4,942","167,632","±10,326","58,895","±5,396","373,818","±13,939","94,954","±8,486","623,215","±17,101","421,903","±13,959","38,581","±3,062","442,690","±13,782","170,334","±6,666","178,532","±8,537","464,398","±14,456","39,306","±4,977","200,922","±9,028","32,611","±3,333","292,272","±10,286","1,440,933","±26,406","169,545","±8,715","23,341","±3,136","336,843","±11,976","328,310","±11,792","56,615","±3,793","232,924","±7,867","24,285","±2,646","69,920","±5,227"
Public transportation (excluding taxicab):,"6,115","±1,504","4,272","±1,289","26,915","±3,505","3,380","±1,039","487,524","±12,503","50,717","±4,798","37,877","±4,584","5,925","±1,642","137,936","±9,281","121,509","±8,903","49,898","±5,010","24,482","±2,860","5,274","±1,211","346,331","±11,659","17,535","±2,731","12,407","±2,413","6,950","±1,830","9,681","±2,037","15,319","±2,391","3,454","±1,137","76,580","±5,623","227,739","±8,931","36,941","±4,169","47,177","±3,854","3,569",±985,"24,436","±3,332","2,783","±1,004","4,293","±1,847","33,578","±4,485","1,630",±645,"150,560","±8,798","6,143","±1,593","2,250,621","±26,039","25,268","±3,627","1,386",±827,"55,435","±5,089","5,035",±949,"43,375","±4,278","211,459","±11,514","4,789","±1,212","8,679","±2,004","2,223",±862,"13,262","±2,632","120,206","±8,051","22,475","±3,434","1,170",±403,"57,573","±4,729","119,156","±6,545","3,931","±1,148","30,576","±3,429","2,813","±1,031","8,195","±1,739"
"Taxicab, motorcycle, bicycle, walked, or other means:","47,670","±4,126","46,084","±2,989","128,362","±7,549","34,432","±3,745","839,605","±18,229","130,539","±7,499","66,271","±5,516","16,046","±2,552","63,876","±4,421","360,453","±12,652","150,674","±8,926","48,058","±4,156","40,718","±3,289","269,936","±10,556","98,474","±6,562","58,565","±4,657","46,942","±3,658","57,477","±4,384","71,355","±5,195","33,726","±3,557","103,379","±6,728","215,063","±9,666","148,086","±7,896","116,077","±5,745","25,870","±2,845","77,507","±4,963","35,175","±2,985","32,116","±3,682","61,798","±4,779","24,379","±2,668","238,729","±9,968","32,494","±3,302","769,044","±14,123","122,836","±7,659","17,946","±2,195","175,260","±10,269","53,340","±3,306","120,773","±7,827","282,693","±9,823","22,341","±3,378","65,871","±5,800","17,159","±2,202","83,908","±5,458","454,723","±16,552","52,793","±3,868","16,186","±2,251","149,022","±6,640","170,603","±7,969","24,566","±2,753","118,057","±6,191","15,793","±2,345","47,736","±4,190"
Worked from home:,"199,321","±8,893","33,843","±2,724","647,427","±14,944","115,063","±6,067","3,182,255","±29,729","657,767","±13,606","279,756","±7,802","73,532","±5,161","123,841","±6,465","1,690,014","±29,220","847,808","±19,277","64,485","±4,137","118,119","±5,894","972,625","±17,013","340,891","±9,013","175,097","±6,153","172,210","±7,643","211,117","±7,907","162,578","±7,274","105,933","±6,331","600,794","±15,375","659,922","±15,814","638,315","±14,206","505,524","±10,551","68,440","±4,645","379,533","±10,794","69,493","±4,983","108,999","±5,162","183,385","±8,388","126,638","±6,190","765,236","±16,970","111,687","±5,636","1,346,176","±21,678","855,246","±19,817","30,935","±2,963","730,570","±14,277","168,395","±5,112","388,239","±11,476","941,902","±14,392","71,809","±5,136","278,500","±11,799","45,217","±3,598","443,456","±11,734","2,084,647","±29,709","306,657","±8,846","54,909","±3,316","782,750","±15,325","783,742","±15,296","65,381","±4,314","385,257","±9,126","25,852","±3,242","66,291","±4,955"
