Label (Grouping),United States!!Estimate,United States!!Margin of Error
Total:,"155,702,047","±159,809"
"    Car, truck, or van - drove alone:","118,799,916","±144,434"
"    Car, truck, or van - carpooled:","13,823,925","±82,160"
    Public transportation (excluding taxicab):,"7,727,784","±42,817"
"    Taxicab, motorcycle, bicycle, walked, or other means:","6,533,683","±56,522"
    Worked from home:,"8,816,739","±53,317"
