Label (Grouping),United States!!Estimate,United States!!Margin of Error
Total:,"       150,162,128","+/-78,503"
"    Car, truck, or van - drove alone:","       103,547,795","+/-65,661"
"    Car, truck, or van - carpooled:","        11,838,359","+/-16,594"
    Public transportation (excluding taxicab):,"         4,829,686","+/-11,917"
"    Taxicab, motorcycle, bicycle,  walked, or other means:","         6,197,896","+/-16,891"
    Worked from home:,"        23,748,392","+/-29,650"
