Label (Grouping),United States!!Estimate,United States!!Margin of Error
Total:,"153,414,800","±150,104"
"    Car, truck, or van - drove alone:","117,595,788","±146,580"
"    Car, truck, or van - carpooled:","13,821,430","±78,781"
    Public transportation (excluding taxicab):,"7,575,700","±47,175"
"    Taxicab, motorcycle, bicycle, walked, or other means:","6,327,662","±38,484"
    Worked at home:,"8,094,220","±46,585"
