Label (Grouping),United States!!Estimate,United States!!Margin of Error
Total:,"159,278,184","±154,701"
"    Car, truck, or van - drove alone:","109,858,113","±174,253"
"    Car, truck, or van - carpooled:","13,794,560","±74,459"
    Public transportation (excluding taxicab):,"4,971,590","±43,650"
"    Taxicab, motorcycle, bicycle, walked, or other means:","6,472,633","±50,335"
    Worked from home:,"24,181,288","±104,740"
