State,Year,Worked at home
West Virginia,2022,65381
Wisconsin,2018,140810
Wisconsin,2019,148643
Wisconsin,2020,391618
Wisconsin,2021,434916
Wisconsin,2022,385257
Wyoming,2018,17513
Wyoming,2019,15941
Wyoming,2020,24515
Wyoming,2021,25177
Wyoming,2022,25852
